arch,dtype,K,V,BT,H,Hg,T_flat,N,use_g,use_gk,use_h0,store_fs,save_vn,is_varlen,wu_contig,BV,duration
gfx950,torch.bfloat16,128,128,64,32,16,2500,1,True,False,True,False,True,False,True,16,67.1
gfx950,torch.bfloat16,128,128,64,32,16,60000,1,True,False,True,False,True,False,True,16,2035.8
gfx950,torch.bfloat16,128,128,64,32,16,128000,1,True,False,True,False,True,False,True,16,4348.7
gfx950,torch.bfloat16,128,128,64,16,8,2500,1,True,False,True,False,True,False,True,16,61.7
gfx950,torch.bfloat16,128,128,64,16,8,60000,1,True,False,True,False,True,False,True,16,1781.4
gfx950,torch.bfloat16,128,128,64,16,8,128000,1,True,False,True,False,True,False,True,16,3800.9
gfx950,torch.bfloat16,128,128,64,64,16,2500,1,True,False,True,False,True,False,True,32,91.5
gfx950,torch.bfloat16,128,128,64,64,16,60000,1,True,False,True,False,True,False,True,32,2730.0
gfx950,torch.bfloat16,128,128,64,64,16,128000,1,True,False,True,False,True,False,True,32,5873.4
gfx950,torch.bfloat16,128,128,64,32,8,2500,1,True,False,True,False,True,False,True,16,65.7
gfx950,torch.bfloat16,128,128,64,32,8,60000,1,True,False,True,False,True,False,True,16,1993.1
gfx950,torch.bfloat16,128,128,64,32,8,128000,1,True,False,True,False,True,False,True,16,4276.9
gfx950,torch.bfloat16,128,128,64,16,4,32768,32,True,False,True,True,True,True,True,64,202.4
gfx950,torch.bfloat16,128,128,64,16,4,32768,16,True,False,True,True,True,True,True,64,195.8
gfx950,torch.bfloat16,128,128,64,16,4,32768,8,True,False,True,True,True,True,True,64,247.0
gfx950,torch.bfloat16,128,128,64,16,4,32768,4,True,False,True,True,True,True,True,32,383.5
gfx950,torch.bfloat16,128,128,64,8,2,32768,32,True,False,True,True,True,True,True,64,107.4
gfx950,torch.bfloat16,128,128,64,8,2,32768,16,True,False,True,True,True,True,True,64,127.6
gfx950,torch.bfloat16,128,128,64,8,2,32768,8,True,False,True,True,True,True,True,32,197.1
gfx950,torch.bfloat16,128,128,64,8,2,32768,4,True,False,True,True,True,True,True,16,276.4
gfx950,torch.bfloat16,128,128,64,32,32,2500,1,True,False,True,False,True,False,True,16,70.61972141265869
gfx950,torch.bfloat16,128,128,64,32,32,60000,1,True,False,True,False,True,False,True,16,2053.585662841797
gfx950,torch.bfloat16,128,128,64,16,16,2500,1,True,False,True,False,True,False,True,16,66.7445182800293
gfx950,torch.bfloat16,128,128,64,16,16,60000,1,True,False,True,False,True,False,True,16,1851.8910217285156
gfx950,torch.bfloat16,128,128,64,64,64,2500,1,True,False,True,False,True,False,True,32,87.98148155212402
gfx950,torch.bfloat16,128,128,64,64,64,60000,1,True,False,True,False,True,False,True,32,2549.2437744140625
